15001	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	1.1	1.1	1.1	1.1
15002	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15003	Бензопила	22	53	53	22	53	53	53	53	53	22	22	22	22	22	1.1	1.1	1.1	1.1
15004	Бутылка	30	30	47	30	47	47	47	47	30	30	30	30	30	30	1.0	1.0	1.0	1.0
15005	Пушка	61	61	61	61	61	61	61	61	61	61	61	61	61	61	1.1	1.1	1.1	1.1
15006	Staff of Evanescence	7	6	0	18	18	0	17	0	16	0	0	19	0	0	1,1	1.4	1.4	1,1
15007	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	1.1	1.1	1.1	1.1
15008	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15009	Бензопила	22	53	53	22	53	53	53	53	53	22	22	22	22	22	0.7	0.7	0.7	0.7
15010	Бутылка	30	30	47	30	47	47	47	47	30	30	30	30	30	30	1.0	1.0	1.0	1.0
15011	Пушка	61	61	61	61	61	61	61	61	61	61	61	61	61	61	1.1	1.1	1.1	1.1
15012	Staff of Evanescence	7	6	0	18	18	0	17	0	16	0	0	19	0	0	1,1	1.4	1.4	1,1
15053	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15054	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15055	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15070	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15071	Бензопила	22	53	53	22	53	53	53	53	53	22	22	22	22	22	0.7	0.7	0.7	0.7
15072	Пушка	61	61	61	61	61	61	61	61	61	61	61	61	61	61	1.1	1.1	1.1	1.1
15073	Staff of Evanescence	7	6	0	18	18	0	17	0	16	0	0	19	0	0	0,7	1	1	0,7
15074	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
15099	Меч Авроры	26	26	26	26	25	26	24	24	26	26	26	26	26	26	0.6	0.6	0.6	0.6
